Class Name,Line Number
SharingWizardTest.java,205
SharingWizardTest.java,206
SharingWizardTest.java,209
SharingWizardTest.java,213
SharingWizardTest.java,277
SharingWizardTest.java,286
SharingWizardTest.java,298
SharingWizardTest.java,299
SharingWizardTest.java,303
SharingWizardTest.java,304
SharingWizardTest.java,310
SharingWizardTest.java,312
CommitActionStagingViewTest.java,73
CommitActionStagingViewTest.java,154
CommitMessageBuilderTest.java,40
WorkingTreeChangeCacheTest.java,30
WorkingTreeChangeCacheTest.java,37
WorkingTreeChangeCacheTest.java,43
WorkingTreeChangeCacheTest.java,44
WorkingTreeChangeCacheTest.java,51
WorkingTreeChangeCacheTest.java,52
WorkingTreeChangeCacheTest.java,58
WorkingTreeChangeCacheTest.java,65
WorkingTreeChangeCacheTest.java,71
WorkingTreeChangeCacheTest.java,72
WorkingTreeChangeCacheTest.java,79
WorkingTreeChangeCacheTest.java,80
WorkingTreeChangeCacheTest.java,86
WorkingTreeChangeCacheTest.java,88
WorkingTreeChangeCacheTest.java,90
WorkingTreeChangeCacheTest.java,97
WorkingTreeChangeCacheTest.java,103
WorkingTreeChangeCacheTest.java,104
WorkingTreeChangeCacheTest.java,106
WorkingTreeChangeCacheTest.java,108
WorkingTreeChangeCacheTest.java,109
WorkingTreeChangeCacheTest.java,116
WorkingTreeChangeCacheTest.java,117
WorkingTreeChangeCacheTest.java,123
WorkingTreeChangeCacheTest.java,125
WorkingTreeChangeCacheTest.java,127
WorkingTreeChangeCacheTest.java,134
WorkingTreeChangeCacheTest.java,140
WorkingTreeChangeCacheTest.java,141
WorkingTreeChangeCacheTest.java,143
WorkingTreeChangeCacheTest.java,144
WorkingTreeChangeCacheTest.java,146
WorkingTreeChangeCacheTest.java,147
WorkingTreeChangeCacheTest.java,154
WorkingTreeChangeCacheTest.java,155
WorkingTreeChangeCacheTest.java,161
WorkingTreeChangeCacheTest.java,163
WorkingTreeChangeCacheTest.java,165
WorkingTreeChangeCacheTest.java,172
WorkingTreeChangeCacheTest.java,178
WorkingTreeChangeCacheTest.java,179
WorkingTreeChangeCacheTest.java,181
WorkingTreeChangeCacheTest.java,183
WorkingTreeChangeCacheTest.java,184
WorkingTreeChangeCacheTest.java,191
WorkingTreeChangeCacheTest.java,192
WorkingTreeChangeCacheTest.java,198
WorkingTreeChangeCacheTest.java,200
WorkingTreeChangeCacheTest.java,202
WorkingTreeChangeCacheTest.java,209
WorkingTreeChangeCacheTest.java,215
WorkingTreeChangeCacheTest.java,216
WorkingTreeChangeCacheTest.java,218
WorkingTreeChangeCacheTest.java,219
WorkingTreeChangeCacheTest.java,221
WorkingTreeChangeCacheTest.java,222
WorkingTreeChangeCacheTest.java,229
WorkingTreeChangeCacheTest.java,230
WorkingTreeChangeCacheTest.java,236
WorkingTreeChangeCacheTest.java,237
FileDeleteHookTest.java,55
AddOperationTest.java,42
AddOperationTest.java,57
AddOperationTest.java,73
AddOperationTest.java,75
AddOperationTest.java,93
AddOperationTest.java,129
AddOperationTest.java,131
TestUtils.java,70
TestUtils.java,73
TestUtils.java,85
TestUtils.java,109
TestUtils.java,152
TestUtils.java,161
TestUtils.java,224
TestUtils.java,230
TestUtils.java,273
TestUtils.java,274
DecoratableResourceAdapterTest.java,142
DecoratableResourceAdapterTest.java,161
DecoratableResourceAdapterTest.java,162
DecoratableResourceAdapterTest.java,163
DecoratableResourceAdapterTest.java,165
DecoratableResourceAdapterTest.java,189
DecoratableResourceAdapterTest.java,190
DecoratableResourceAdapterTest.java,191
DecoratableResourceAdapterTest.java,220
DecoratableResourceAdapterTest.java,245
DecoratableResourceAdapterTest.java,266
DecoratableResourceAdapterTest.java,290
DecoratableResourceAdapterTest.java,318
DecoratableResourceAdapterTest.java,366
DecoratableResourceAdapterTest.java,396
FeatureRebaseOperationTest.java,30
FeatureRebaseOperationTest.java,33
WorkingCopyPage.java,76
RepositoryCacheTest.java,68
RepositoryCacheTest.java,75
RepositoryCacheTest.java,84
RepositoryCacheTest.java,88
RepositoryCacheTest.java,94
InitHandlerTest.java,184
RebaseInteractivePlanTest.java,53
MergeToolTest.java,69
GitResourceVariantComparatorTest.java,194
GitResourceVariantComparatorTest.java,529
GitResourceVariantComparatorTest.java,559
GitResourceVariantComparatorTest.java,631
CompareUtilsTest.java,109
SynchronizeViewGitChangeSetModelTest.java,163
SynchronizeViewGitChangeSetModelTest.java,225
SynchronizeViewGitChangeSetModelTest.java,256
SynchronizeViewGitChangeSetModelTest.java,257
SynchronizeViewGitChangeSetModelTest.java,258
SynchronizeViewGitChangeSetModelTest.java,281
SynchronizeViewGitChangeSetModelTest.java,282
SynchronizeViewGitChangeSetModelTest.java,283
SynchronizeViewGitChangeSetModelTest.java,368
SynchronizeViewWorkspaceModelTest.java,155
SynchronizeViewWorkspaceModelTest.java,215
SynchronizeViewWorkspaceModelTest.java,243
SynchronizeViewWorkspaceModelTest.java,296
SynchronizeViewWorkspaceModelTest.java,297
SynchronizeViewWorkspaceModelTest.java,298
SynchronizeViewWorkspaceModelTest.java,319
SynchronizeViewWorkspaceModelTest.java,320
SynchronizeViewWorkspaceModelTest.java,321
DeletePathsOperationTest.java,54
DeletePathsOperationTest.java,71
DeletePathsOperationTest.java,81
DeletePathsOperationTest.java,84
SubmoduleFolderTest.java,120
SubmoduleFolderTest.java,123
TrackUntrackOperationTest.java,50
TrackUntrackOperationTest.java,55
ReleaseFinishOperationTest.java,91
ReleaseFinishOperationTest.java,92
ResourceUtilTest.java,83
ResourceUtilTest.java,105
ResourceUtilTest.java,123
RewordCommitsOperationTest.java,40
SampleTestRepository.java,64
SampleTestRepository.java,66
SampleTestRepository.java,137
GitProjectSetCapabilityTest.java,88
GitProjectSetCapabilityTest.java,154
GitProjectSetCapabilityTest.java,192
GitProjectSetCapabilityTest.java,199
GitProjectSetCapabilityTest.java,214
GitProjectSetCapabilityTest.java,236
GitProjectSetCapabilityTest.java,245
GitProjectSetCapabilityTest.java,295
GitProjectSetCapabilityTest.java,374
GitFlowRepositoryTest.java,42
LocalRepositoryTestCase.java,155
LocalRepositoryTestCase.java,160
LocalRepositoryTestCase.java,201
LocalRepositoryTestCase.java,416
LocalRepositoryTestCase.java,436
LocalRepositoryTestCase.java,491
LocalRepositoryTestCase.java,554
LocalRepositoryTestCase.java,558
LocalRepositoryTestCase.java,608
LocalRepositoryTestCase.java,688
LocalRepositoryTestCase.java,709
LocalRepositoryTestCase.java,748
FetchGerritChangeTest.java,86
FetchGerritChangeTest.java,95
ConnectProviderOperationTest.java,56
ConnectProviderOperationTest.java,93
ConnectProviderOperationTest.java,104
ConnectProviderOperationTest.java,106
ConnectProviderOperationTest.java,244
GitSubscriberResourceMappingContextTest.java,73
GitSubscriberResourceMappingContextTest.java,74
GitSubscriberResourceMappingContextTest.java,103
GitSubscriberResourceMappingContextTest.java,104
GitSubscriberResourceMappingContextTest.java,105
GitSubscriberResourceMappingContextTest.java,128
GitSubscriberResourceMappingContextTest.java,282
GitCloneWizardHttpsTest.java,39
CommitActionTest.java,62
CommitActionTest.java,87
CommitActionTest.java,109
CommitActionTest.java,157
CommitActionTest.java,210
GitRepositoriesViewBranchHandlingTest.java,91
GitRepositoriesViewBranchHandlingTest.java,97
GitLightweightDecoratorTest.java,218
SynchronizeViewRemoteAwareChangeSetModelTest.java,105
SynchronizeViewRemoteAwareChangeSetModelTest.java,107
SynchronizeViewRemoteAwareChangeSetModelTest.java,109
SynchronizeViewRemoteAwareChangeSetModelTest.java,134
SynchronizeViewRemoteAwareChangeSetModelTest.java,135
SynchronizeViewRemoteAwareChangeSetModelTest.java,150
SynchronizeViewRemoteAwareChangeSetModelTest.java,151
SynchronizeViewRemoteAwareChangeSetModelTest.java,167
SynchronizeViewRemoteAwareChangeSetModelTest.java,169
SynchronizeViewRemoteAwareChangeSetModelTest.java,174
